"Date","Source","Site ID","POC","Daily Mean PM2.5 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/02/2014","AQS","110010042","1","17.3","ug/m3 LC","62","HAINS POINT PM-2.5 AND IMPROVE SITE ON ROOF OF PARK POLICE BLDG.","1","100.0000","88101","PM2.5 - Local Conditions","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","11","District Of Columbia","001","District of Columbia","38.876255091085","-77.0340591503676"
"01/05/2014","AQS","110010042","1","17.7","ug/m3 LC","63","HAINS POINT PM-2.5 AND IMPROVE SITE ON ROOF OF PARK POLICE BLDG.","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","11","District Of Columbia","001","District of Columbia","38.876255091085","-77.0340591503676"
"01/08/2014","AQS","110010042","1","7.1","ug/m3 LC","30","HAINS POINT PM-2.5 AND IMPROVE SITE ON ROOF OF PARK POLICE BLDG.","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","11","District Of Columbia","001","District of Columbia","38.876255091085","-77.0340591503676"
"01/11/2014","AQS","110010042","1","7.7","ug/m3 LC","32","HAINS POINT PM-2.5 AND IMPROVE SITE ON ROOF OF PARK POLICE BLDG.","1","100.0000","88101","PM2.5 - Local Conditions","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","11","District Of Columbia","001","District of Columbia","38.876255091085","-77.0340591503676"
"01/14/2014","AQS","110010042","1","13.5","ug/m3 LC","54","HAINS POINT PM-2.5 AND IMPROVE SITE ON ROOF OF PARK POLICE BLDG.","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","11","District Of Columbia","001","District of Columbia","38.876255091085","-77.0340591503676"
"01/17/2014","AQS","110010042","1","10.1","ug/m3 LC","42","HAINS POINT PM-2.5 AND IMPROVE SITE ON ROOF OF PARK POLICE BLDG.","1","100.0000","88101","PM2.5 - Local Conditions","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","11","District Of Columbia","001","District of Columbia","38.876255091085","-77.0340591503676"
"01/20/2014","AQS","110010042","1","6.3","ug/m3 LC","26","HAINS POINT PM-2.5 AND IMPROVE SITE ON ROOF OF PARK POLICE BLDG.","1","100.0000","88101","PM2.5 - Local Conditions","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","11","District Of Columbia","001","District of Columbia","38.876255091085","-77.0340591503676"
"01/23/2014","AQS","110010042","1","11","ug/m3 LC","46","HAINS POINT PM-2.5 AND IMPROVE SITE ON ROOF OF PARK POLICE BLDG.","1","100.0000","88101","PM2.5 - Local Conditions","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","11","District Of Columbia","001","District of Columbia","38.876255091085","-77.0340591503676"
"01/29/2014","AQS","110010042","1","10.2","ug/m3 LC","43","HAINS POINT PM-2.5 AND IMPROVE SITE ON ROOF OF PARK POLICE BLDG.","1","100.0000","88101","PM2.5 - Local Conditions","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","11","District Of Columbia","001","District of Columbia","38.876255091085","-77.0340591503676"
"02/06/2014","AQS","110010042","1","7.9","ug/m3 LC","33","HAINS POINT PM-2.5 AND IMPROVE SITE ON ROOF OF PARK POLICE BLDG.","1","100.0000","88101","PM2.5 - Local Conditions","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","11","District Of Columbia","001","District of Columbia","38.876255091085","-77.0340591503676"
"02/07/2014","AQS","110010042","1","10.3","ug/m3 LC","43","HAINS POINT PM-2.5 AND IMPROVE SITE ON ROOF OF PARK POLICE BLDG.","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","11","District Of Columbia","001","District of Columbia","38.876255091085","-77.0340591503676"
